id,value
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.sqn,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.latest_flagship,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.fin7,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.angle-of-attack,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.team_human,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.comput_intrus,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.quiet_titl,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.gordon_sondland,
NGI.Towards Data Sovereignty and Autonomy.data_breach,
NGI.Towards Data Sovereignty and Autonomy.data_breach.equifax,
NGI.Towards Data Sovereignty and Autonomy.data_breach.facebook,
NGI.Towards Data Sovereignty and Autonomy.data_breach.gdpr,
NGI.Towards Data Sovereignty and Autonomy.data_breach.cambridg_analytica,
NGI.Towards Data Sovereignty and Autonomy.data_breach.dpo,
NGI.Towards Data Sovereignty and Autonomy.data_breach.zuckerberg,
NGI.Towards Data Sovereignty and Autonomy.data_breach.within_72,
NGI.Towards Data Sovereignty and Autonomy.data_breach.scandal,
NGI.Towards Data Sovereignty and Autonomy.data_breach.data_broker,
NGI.Towards Data Sovereignty and Autonomy.data_breach.equifax_breach,
NGI.Towards Data Sovereignty and Autonomy.data_broker,
NGI.Towards Data Sovereignty and Autonomy.data_broker.data_broker,
NGI.Towards Data Sovereignty and Autonomy.data_broker.voter_id,
NGI.Towards Data Sovereignty and Autonomy.data_broker.acxiom,
NGI.Towards Data Sovereignty and Autonomy.data_broker.facebook,
NGI.Towards Data Sovereignty and Autonomy.data_broker.cookiebot,
NGI.Towards Data Sovereignty and Autonomy.data_broker.partner_categori,
NGI.Towards Data Sovereignty and Autonomy.data_broker.remain_unawar,
NGI.Towards Data Sovereignty and Autonomy.data_broker.cambridg_analytica,
NGI.Towards Data Sovereignty and Autonomy.data_broker.ico,
NGI.Towards Data Sovereignty and Autonomy.data_broker.locat_aggreg,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo.duckduckgo,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo.unfair_practic,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo.ddg,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo.qwant,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo.duck_com,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo.platform-to-busi,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo.presearch,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo.p2b,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo.dnt,
NGI.Towards Data Sovereignty and Autonomy.duckduckgo.consum_privaci,
NGI.Towards Data Sovereignty and Autonomy.equifax,
NGI.Towards Data Sovereignty and Autonomy.equifax.equifax,
NGI.Towards Data Sovereignty and Autonomy.equifax.eldon_insur,
NGI.Towards Data Sovereignty and Autonomy.equifax.data_broker,
NGI.Towards Data Sovereignty and Autonomy.equifax.leave_eu,
NGI.Towards Data Sovereignty and Autonomy.equifax.data-centr,
NGI.Towards Data Sovereignty and Autonomy.equifax.sonatyp,
NGI.Towards Data Sovereignty and Autonomy.equifax.equifax_breach,
NGI.Towards Data Sovereignty and Autonomy.equifax.apach_strut,
NGI.Towards Data Sovereignty and Autonomy.equifax.209,000,
NGI.Towards Data Sovereignty and Autonomy.equifax.axciom,
NGI.Towards Data Sovereignty and Autonomy.gdpr,
NGI.Towards Data Sovereignty and Autonomy.gdpr.gdpr,
NGI.Towards Data Sovereignty and Autonomy.gdpr.facebook,
NGI.Towards Data Sovereignty and Autonomy.gdpr.newsom,
NGI.Towards Data Sovereignty and Autonomy.gdpr.general_data,
NGI.Towards Data Sovereignty and Autonomy.gdpr.protect_regul,
NGI.Towards Data Sovereignty and Autonomy.gdpr.consent,
NGI.Towards Data Sovereignty and Autonomy.gdpr.mechan_turk,
NGI.Towards Data Sovereignty and Autonomy.gdpr.audimet,
NGI.Towards Data Sovereignty and Autonomy.gdpr.zuckerberg,
NGI.Towards Data Sovereignty and Autonomy.gdpr.may_25,
NGI.Towards Data Sovereignty and Autonomy.health_record,
NGI.Towards Data Sovereignty and Autonomy.health_record.my_health,
NGI.Towards Data Sovereignty and Autonomy.health_record.electron_health,
NGI.Towards Data Sovereignty and Autonomy.health_record.11_3,
NGI.Towards Data Sovereignty and Autonomy.health_record.q_,
NGI.Towards Data Sovereignty and Autonomy.health_record.comput_linguist,
NGI.Towards Data Sovereignty and Autonomy.health_record.palliat_care,
NGI.Towards Data Sovereignty and Autonomy.health_record.ehr,
NGI.Towards Data Sovereignty and Autonomy.health_record.adha,
NGI.Towards Data Sovereignty and Autonomy.health_record.healthi_food,
NGI.Towards Data Sovereignty and Autonomy.health_record.busi_chat,
NGI.Towards Data Sovereignty and Autonomy.privaci,
NGI.Towards Data Sovereignty and Autonomy.privaci.facebook,
NGI.Towards Data Sovereignty and Autonomy.privaci.gdpr,
NGI.Towards Data Sovereignty and Autonomy.privaci.consent,
NGI.Towards Data Sovereignty and Autonomy.privaci.zuckerberg,
NGI.Towards Data Sovereignty and Autonomy.privaci.cambridg_analytica,
NGI.Towards Data Sovereignty and Autonomy.privaci.ai,
NGI.Towards Data Sovereignty and Autonomy.privaci.violat,
NGI.Towards Data Sovereignty and Autonomy.privaci.facial_recognit,
NGI.Towards Data Sovereignty and Autonomy.privaci.amazon,
NGI.Towards Data Sovereignty and Autonomy.privaci.general_data,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal.privaci_scandal,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal.pallon,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal.facebook,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal.cc0,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal.zuckerberg,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal.cambridg_analytica,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal.aggregateiq,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal.zuck,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal.main_stage,
NGI.Towards Data Sovereignty and Autonomy.privaci_scandal.next_stage,
NGI.Towards Data Sovereignty and Autonomy.privaci_set,
NGI.Towards Data Sovereignty and Autonomy.privaci_set.privaci_set,
NGI.Towards Data Sovereignty and Autonomy.privaci_set.facebook,
NGI.Towards Data Sovereignty and Autonomy.privaci_set.cambridg_analytica,
NGI.Towards Data Sovereignty and Autonomy.privaci_set.gdpr,
NGI.Towards Data Sovereignty and Autonomy.privaci_set.zuckerberg,
NGI.Towards Data Sovereignty and Autonomy.privaci_set.kosinski,
NGI.Towards Data Sovereignty and Autonomy.privaci_set.kogan,
NGI.Towards Data Sovereignty and Autonomy.privaci_set.consent,
NGI.Towards Data Sovereignty and Autonomy.privaci_set.ahearn,
NGI.Towards Data Sovereignty and Autonomy.privaci_set.jumbo,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard.ww,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard.amaz_stori,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard.sqn,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard.latest_flagship,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard.fin7,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard.angle-of-attack,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard.team_human,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard.comput_intrus,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard.quiet_titl,
NGI.Towards Data Sovereignty and Autonomy.privaci_standard.gordon_sondland,
NGI.Towards Data Sovereignty and Autonomy.user_data,
NGI.Towards Data Sovereignty and Autonomy.user_data.chrome_web,
NGI.Towards Data Sovereignty and Autonomy.user_data.robots_txt,
